rho,full_arg_hudson,full_arg_smc,unary_coal,fully_simplified,tsinfer_tsdate,tsinfer_fs_tsdate,poly_full_arg_smc_0.05,poly_unary_coal_0.05,poly_fully_simplified_0.05,poly_full_arg_smc_0.25,poly_unary_coal_0.25,poly_fully_simplified_0.25,poly_full_arg_smc_0.5,poly_unary_coal_0.5,poly_fully_simplified_0.5,poly_full_arg_smc_0.75,poly_unary_coal_0.75,poly_fully_simplified_0.75
4.641588833612773e-09,-222108.27558441894,-76768.47796269525,-72214.18141877074,-134200.12145821305,-82977.16368852371,-103360.14105730125,-76100.63154290382,-71454.6642055295,-135074.2881794408,-73906.9059856312,-67803.28501413744,-145776.9425141823,-71614.81586083214,-67690.78594977889,-229670.09491776425,-75273.38454192612,-88981.01129996014,-683160.2271312715
5.223345074266833e-09,-221894.35038322266,-76550.45645825518,-71996.16125403333,-133405.29550179373,-82734.21984383823,-102845.10883793519,-75881.79870600344,-71233.83805607051,-134271.36206296005,-73683.3174418369,-67577.6908024039,-144899.360173032,-71376.77497716412,-67435.9127314132,-228403.22754877905,-74989.4166184955,-88619.92089240708,-680722.195409888
5.878016072274924e-09,-221698.352498021,-76349.84885727867,-71795.5551606533,-132627.8862856354,-82516.79466107645,-102352.66589916177,-75680.47048096909,-71030.59228077943,-133486.62822267044,-73477.61423653553,-67370.48533672777,-144044.53962610158,-71157.63479885558,-67201.94486866501,-227176.50055537265,-74728.93815915065,-88290.62069872548,-678389.6260432081
6.614740641230159e-09,-221522.52885941244,-76168.83774148246,-71614.54574140781,-131870.0767470133,-82328.3155697743,-101885.64348035671,-75498.84081850851,-70847.13032609335,-132722.36679809308,-73292.03803904704,-67183.97338130785,-143215.33373611644,-70959.76425680507,-66991.50254645705,-225994.94495488383,-74494.89322955572,-87997.09516388828,-676175.7372168385
7.443803013251696e-09,-221369.40801837575,-76009.87924775883,-71455.58915686313,-131134.32342290794,-82173.55956081169,-101447.22768261572,-75339.37864944305,-70685.93180869047,-131981.14371135694,-73129.11147962045,-67020.7485693045,-142414.95293099878,-70785.829193268,-66807.53435211586,-224864.22233013425,-74290.59489155971,-87743.82812559952,-674095.4038254006
8.376776400682925e-09,-221241.8354432354,-75875.73735434603,-71321.44941190122,-130423.390741792,-82054.94372682394,-101041.00393522257,-75204.86234947518,-70549.78712945001,-131265.84648593247,-72991.67336383712,-66883.72960840113,-141647.01001953104,-70638.82957539195,-66653.35843587655,-223790.70386172793,-74119.77145154672,-87535.86540597407,-672165.365117167
9.426684551178853e-09,-221143.01324080216,-75769.52246429308,-71215.23693956473,-129740.38961338696,-81978.70745318482,-100671.00703436013,-75098.418523633,-70441.8364257695,-130579.72455472151,-72882.91830062906,-66776.20102420778,-140915.5706239748,-70522.14137294058,-66532.70883026697,-222781.55926587593,-73986.618505355,-87378.88524817862,-670404.4583637321
1.0608183551394482e-08,-221076.5448557867,-75694.73482484484,-71140.45202083304,-129088.82085508559,-81949.40183664297,-100341.77750459759,-75023.56565182381,-70365.61340599606,-129926.43462018263,-72806.44129709949,-66701.85901026407,-140225.20993371608,-70439.56368483306,-66449.78757495503,-221844.85687936022,-73895.85750626921,-87279.2775812947,-668833.8818171113
1.1937766417144358e-08,-221046.48537274156,-75655.31338875674,-71101.03364643983,-128472.62406125864,-81971.88285348176,-100058.42495135084,-74984.26320466821,-70325.09467786943,-129310.09169969497,-72766.28794266199,-66664.86302467957,-139581.0765721622,-70395.37177224639,-66409.3233746972,-220989.67628861542,-73852.80167367052,-87244.23321988441,-667477.490624646
1.3433993325988987e-08,-221057.39812260837,-75655.69079972993,-71101.414502815,-127896.23259762103,-82054.53968025853,-99826.69938191348,-74984.96691534994,-70324.75525957545,-128735.32656872926,-72767.01088303444,-66669.89385366562,-138988.96446841268,-70394.37673871583,-66416.63760921224,-220226.2350753301,-73863.43016238522,-87281.84424343995,-666362.1298323199
1.511775070615663e-08,-221114.41838406384,-75700.85526944693,-71146.58284972206,-127364.63548834663,-82203.79910920895,-99653.07149312965,-75030.69097896843,-70369.63104830818,-128207.3504036769,-72813.73337243802,-66722.21895249895,-138455.39373703118,-70441.99269024054,-66477.71861644438,-219566.03144772357,-73934.4715280912,-87401.21695694778,-665518.0091256773
1.7012542798525893e-08,-221223.32506895825,-75796.42021000267,-71242.15215336584,-126883.44705983839,-82428.17516420013,-99544.82300033158,-75127.07804768231,-70465.3891183684,-127732.02752674001,-72912.22079114514,-66827.76597602823,-137987.70169491405,-70544.31231294354,-66599.30528615849,-219022.00474860347,-74073.49765390882,-87612.59900943004,-664979.124538731
1.9144819761699575e-08,-221390.62139237055,-75948.70259376858,-71394.43944700342,-126458.9853133433,-82737.14241505184,-99510.14826865394,-75280.47799874663,-70618.40683011098,-127315.95726833153,-73068.96112672293,-66993.20552517171,-137594.14528581066,-70708.19192331348,-66788.98113078898,-218608.71608082272,-74289.02944933868,-87927.52244496335,-664783.7330182076
2.1544346900318822e-08,-221623.62565366828,-76164.81113452782,-71610.5535129315,-126098.36012044363,-83141.13582330037,-99558.26869926165,-75498.03657498084,-70835.86085406234,-126966.5660897508,-73291.2555424385,-67226.044264495,-137284.01634229172,-70941.34717825771,-67055.28014671456,-218342.5515714879,-74590.65579703145,-88358.96468308225,-664974.8864674204
2.424462017082331e-08,-221930.57339555645,-76452.74552084735,-71898.49411681054,-125809.5724725796,-83652.43397567177,-99699.5614762446,-75787.79513504457,-71125.82735292324,-126692.21125211183,-73587.32029710889,-67534.72971073378,-137067.7712941218,-71252.46078103643,-67407.80594371272,-218241.9511124476,-74989.16740782725,-88921.5296757442,-665601.0327250747
2.7283333764867695e-08,-222320.73236721812,-76821.50808691375,-72267.26367958289,-125601.62617005726,-84284.02929212152,-99945.70441341789,-76158.80290596203,-71497.39471994444,-126502.29747866311,-73966.40143913301,-67928.76815504514,-136957.17713372363,-71651.30368657205,-67857.36580557836,-218327.6657700559,-75496.70745258694,-89631.6517697267,-666716.6918678728
3.07029062975785e-08,-222804.53189663833,-77281.22947971597,-72726.99294585445,-125484.65350967669,-85051.61372023122,-100309.83895776662,-76621.24330490085,-71960.79044742885,-126407.40823904908,-74438.90387577176,-68418.85736511712,-136965.47567628653,-72148.87149811491,-68416.1215533046,-218623.0474575726,-76126.94107355824,-90507.82512021861,-668383.2172779584
3.4551072945922184e-08,-223393.70847766966,-77843.31007678123,-73289.08240299598,-125470.05672547249,-85971.58210840133,-100806.75367679496,-77186.57609354763,-72527.52389637295,-126419.4534881609,-75016.53661939406,-69017.03591956849,-137107.56840752132,-72757.53795924594,-69097.75931678896,-219154.3749137879,-76895.24614154185,-91570.86185810338,-670669.6520992584
3.8881551803080854e-08,-224101.46960447312,-78520.57912859005,-73966.36142508805,-125570.66715701879,-87063.3984914913,-101453.09062997536,-77867.69734949077,-73210.54696022291,-126551.83592191378,-75712.47623825155,-69736.85125926616,-137400.224499406,-73491.22768389698,-69917.6805849724,-219951.2205383961,-77818.92792171908,-92844.18261479143,-673653.693038208
4.37547937507418e-08,-224942.6781401769,-79327.47384720355,-74773.26736326591,-125800.92436717721,-88348.64690686083,-102267.57774275249,-78679.11948771324,-74024.43486551463,-126819.63807078575,-76541.55079344753,-70593.54880144738,-137862.3148976934,-74365.6105355933,-70893.21720136103,-221046.86320483222,-78917.4606447464,-94354.14346014344,-677422.7749630179
4.9238826317067414e-08,-225934.05979351827,-80280.24094106256,-75726.04708245485,-126177.07770965666,-89851.2210747876,-103271.2902144876,-79637.17384517951,-74985.58963326842,-127239.83284281564,-77520.44682975503,-71604.284756573,-138515.07574890906,-75398.32036931987,-72043.87330613105,-222478.75281329808,-80212.75935530242,-96130.40381735268,-682075.2914417497
5.541020330009492e-08,-227094.43659971267,-81397.16340926345,-76842.98375782759,-126717.41316016544,-91598.73664494546,-104487.94472156062,-80760.23865647518,-76112.46904133013,-127831.52045513793,-78667.94230974768,-72788.36561870013,-139382.40484412052,-76609.20118953116,-73391.59760219173,-224289.0330687565,-81729.48583292695,-98206.3404906494,-687721.9682572962
6.235507341273912e-08,-228444.98966466365,-82698.8157612388,-78144.6520969276,-127442.50857755067,-93621.70631406335,-105944.23047236692,-82068.99560291678,-77425.84428384426,-128616.19506143898,-80005.16874286541,-74167.51767252207,-140491.1952176245,-78020.5841605227,-74961.08974586596,-226525.12978159892,-83495.3928556281,-100619.51358539995,-694487.4090727204
7.017038286703822e-08,-230009.55484056546,-84208.3512245349,-79654.20555020234,-128375.52095824225,-95954.58244576292,-107670.18179675813,-83586.71851638437,-78949.0899246217,-129618.04479732222,-81555.90616858016,-75766.19027922311,-141871.71055742816,-79657.59933605064,-76780.14513922835,-229240.4129033285,-85541.71161196884,-103412.19082458681,-702511.8348231629
7.896522868499733e-08,-231814.95546006222,-85951.82494994464,-81397.69951923375,-129542.50969386201,-98636.3990629848,-109699.59737657131,-85339.59826801826,-80708.51019197873,-130864.28943199666,-83346.91511144336,-77611.8971748436,-143558.00766797405,-81548.52645976507,-78880.04293718303,-232494.94153879577,-87903.58766966351,-106631.93758077068,-711953.0411157197
8.886238162743407e-08,-233891.37677375038,-87958.55772574511,-83404.45507445531,-130972.8003445022,-101710.8569737999,-112070.51208566075,-87357.1083770323,-82733.70616992631,-132385.5603397219,-85408.31014191709,-79735.60054546548,-145588.4118824609,-83725.1897334208,-81295.98268563353,-236356.30233498834,-90620.57158655304,-110332.2808600702,-722988.6009609825
1e-07,-236272.7873182397,-90261.54527826776,-85707.46825964047,-132699.39400570447,-105226.98421295772,-114825.72791067409,-89672.41644331273,-85057.98901147945,-134216.32809515917,-87773.98025766459,-82172.1432406854,-148006.05206120296,-86223.40206358608,-84067.57568594374,-240900.55294969765,-93737.17101259282,-114573.45650693597,-735818.3435851594
